date_num,Group,ProductId,ZoneId,Sales_$
1460,g3,p17,z23,1.083887786
1458,g3,p17,z23,1.088323481
1463,g3,p17,z23,1.065251864
1461,g3,p17,z148,1.083642826
1411,g3,p17,z23,1.08055557
1441,g3,p17,z23,1.050210269
1444,g3,p17,z23,1.050384253
1431,g3,p17,z23,1.086367728
1449,g3,p17,z23,1.048580172
1391,g3,p17,z23,1.094538171
1382,g3,p17,z23,1.094669369
1417,g3,p35,z23,1.091151982
1383,g3,p35,z23,1.069240064
1395,g3,p35,z23,1.061139004
1423,g3,p35,z23,1.039205204
1421,g3,p35,z23,1.061506272
1419,g3,p35,z23,1.037852261
1453,g3,p35,z148,1.0827455
1436,g3,p35,z23,1.074117486
1447,g3,p35,z23,1.034993069
1465,g3,p35,z23,1.076278543
1445,g3,p35,z23,1.072897275
1457,g3,p35,z23,1.076075409
1460,g3,p35,z148,1.055305822
1456,g3,p35,z23,1.065478955
1458,g3,p35,z23,1.04714493
1394,g3,p40,z23,1.005929396
1465,g3,p40,z23,1.029516581
1459,g3,p40,z23,1.037688524
1422,g3,p40,z23,0.985495552
1392,g3,p40,z23,0.995506676
1462,g3,p40,z23,1.000343435
1438,g3,p40,z23,1.021113772
1432,g3,p40,z23,1.038663969
1448,g3,p40,z23,1.038962554
1441,g3,p40,z23,0.984013382
1457,g3,p40,z23,1.002222737
1446,g3,p40,z23,1.002331353
1456,g3,p40,z23,0.995653335
1453,g3,p40,z23,1.001198922
1433,g3,p40,z23,1.005336113
1393,g3,p40,z23,1.015859792
1442,g3,p40,z23,1.001857618
1435,g3,p40,z23,1.002525238
1453,g3,p29,z1,1.016564267
1456,g3,p29,z1,0.992358253
1446,g3,p29,z1,0.989584623
1447,g3,p29,z1,0.970675731
1443,g3,p29,z1,0.992283408
1463,g3,p29,z23,0.968966364
1449,g3,p29,z1,1.006678015
1393,g3,p28,z23,1.002978862
1449,g3,p28,z23,1.005730529
1450,g3,p28,z148,1.008871212
1414,g3,p17,z23,0.927470067
1384,g3,p17,z23,0.909566114
1413,g3,p17,z23,0.894228524
1463,g3,p8,z1,1.442924417
1464,g3,p8,z1,1.451325908
1465,g3,p8,z1,1.467831163
1458,g3,p8,z1,1.4274659
1448,g3,p8,z1,1.471730833
1449,g3,p8,z1,1.477618877
1450,g3,p8,z1,1.428487511
1443,g3,p8,z1,1.434053823
1454,g3,p60,z148,0.903790307
1457,g3,p28,z148,0.87712241
1460,g3,p18,z1,1.335038435
1461,g3,p18,z1,1.336852397
1462,g3,p18,z1,1.374407383
1464,g3,p18,z1,1.355352122
1452,g3,p18,z1,1.310206221
1458,g3,p18,z1,1.368475466
1449,g3,p18,z1,1.325802383
1443,g3,p18,z1,1.305124684
1462,g3,p28,z1,1.18323706
1463,g3,p28,z1,1.179065637
1464,g3,p28,z1,1.165317897
1446,g3,p28,z1,1.129229542
1451,g3,p28,z1,1.170393706
1443,g3,p28,z1,1.18368999
1460,g3,p35,z1,1.240622658
1463,g3,p35,z1,1.228782877
1453,g3,p35,z1,1.202809395
1444,g3,p35,z1,1.200962135
1459,g3,p17,z1,1.247296986
1455,g3,p17,z1,1.208305262
1450,g3,p17,z1,1.259857981
1442,g3,p17,z1,1.266654518
1460,g3,p60,z1,1.051475534
1455,g3,p60,z1,1.056541247
1451,g3,p60,z1,1.031434214
1463,g2,p71,z1,1.594152867
1452,g2,p71,z1,1.548582476
1453,g2,p71,z1,1.513505906
1445,g2,p71,z1,1.563835535
1446,g2,p71,z1,1.549187806
1449,g2,p71,z1,1.542440699
1455,g2,p43,z1,1.593675644
1448,g2,p43,z1,1.600001995
1451,g2,p43,z1,1.59903162
1443,g2,p43,z1,1.594965838
1452,g2,p83,z148,2.544104015
1451,g2,p83,z148,2.531583682
1384,g2,p71,z23,1.112482197
1383,g2,p43,z23,1.17087458
1455,g2,p26,z1,1.691227544
1446,g2,p26,z1,1.695435637
1444,g2,p26,z1,1.693081695
1456,g2,p26,z1,1.314552018
1457,g2,p26,z1,1.29913688
1462,g2,p26,z1,1.261939346
1454,g2,p26,z148,1.47853202
1455,g2,p26,z148,1.467155701
1448,g2,p26,z148,1.41500088
1414,g2,p83,z148,2.485385236
1461,g2,p83,z148,2.504965481
1460,g2,p83,z148,2.546744432
1445,g2,p83,z148,2.430332113
1419,g2,p83,z148,2.477258377
1423,g2,p83,z148,2.543751125
1413,g2,p83,z148,2.518581784
1382,g2,p83,z148,2.540174464
1450,g2,p83,z148,2.481354051
1425,g2,p83,z148,2.447183417
1426,g2,p83,z148,2.526966002
1447,g2,p83,z148,2.526802775
1440,g2,p83,z148,2.538214207
1436,g2,p83,z148,2.490950601
1463,g2,p83,z148,2.548121336
1429,g2,p83,z148,2.430865562
1420,g2,p83,z148,2.44934307
1454,g2,p26,z23,1.58066808
1457,g2,p26,z23,1.593216766
1461,g2,p26,z23,1.598192839
1434,g2,p26,z23,1.588071403
1452,g2,p26,z23,1.585965073
1427,g2,p26,z23,1.651887241
1446,g2,p26,z23,1.583486341
1455,g2,p26,z23,1.636359272
1443,g2,p26,z23,1.610933754
1393,g2,p26,z23,1.598334925
1412,g2,p26,z23,1.601331539
1456,g2,p26,z23,1.648877474
1441,g2,p26,z23,1.647135566
1459,g2,p26,z23,1.645705372
1420,g2,p26,z23,1.653940044
1419,g2,p26,z23,1.646452028
1448,g2,p26,z23,1.611669777
1431,g2,p26,z23,1.582531901
1383,g2,p26,z23,1.668655616
1388,g2,p26,z23,1.649521229
1428,g2,p71,z23,1.139915961
1418,g2,p71,z23,1.156381121
1433,g2,p71,z23,1.157402251
1436,g2,p71,z23,1.13633367
1436,g2,p71,z148,1.144385932
1421,g2,p71,z23,1.134400748
1435,g2,p71,z23,1.188545902
1433,g2,p43,z23,1.189058721
1434,g2,p43,z23,1.166729208
1434,g2,p43,z148,1.167508748
1419,g2,p43,z23,1.147767043
1431,g2,p43,z23,1.12904661
1428,g2,p43,z23,1.171460303
1422,g2,p43,z23,1.1497747
1427,g2,p43,z23,1.172434289
1420,g2,p43,z23,1.154678694
1429,g2,p43,z23,1.144655718
1430,g2,p43,z23,1.147330379
1449,g2,p43,z23,1.310166279
1455,g2,p43,z23,1.310791182
1450,g2,p43,z23,1.364420469
1393,g2,p43,z23,1.361279043
1444,g2,p43,z23,1.308367123
1444,g2,p43,z148,1.306319024
1443,g2,p43,z23,1.314916716
1443,g2,p43,z148,1.359543473
1458,g2,p43,z23,1.362124111
1461,g2,p43,z23,1.374086728
1461,g2,p43,z148,1.315530312
1459,g2,p43,z23,1.33515995
1464,g2,p43,z23,1.3669552
1386,g2,p43,z23,1.353591257
1437,g2,p43,z23,1.320266986
1437,g2,p43,z148,1.340595128
1465,g2,p43,z23,1.306504474
1445,g2,p43,z148,1.31217872
1441,g2,p43,z23,1.30845012
1451,g2,p43,z23,1.343047236
1457,g2,p43,z23,1.340624088
1411,g2,p43,z23,1.378865943
1389,g2,p43,z23,1.376129236
1392,g2,p43,z23,1.361899521
1395,g2,p43,z23,1.358395724
1437,g2,p71,z23,1.304203895
1411,g2,p71,z23,1.311866522
1391,g2,p71,z148,1.32403524
1449,g2,p71,z23,1.309122591
1412,g2,p71,z23,1.351547888
1448,g2,p71,z148,1.335336413
1465,g2,p71,z23,1.326352945
1443,g2,p71,z23,1.31251619
1441,g2,p71,z148,1.331697639
1453,g2,p71,z23,1.333348434
1457,g2,p71,z23,1.356261112
1458,g2,p71,z148,1.380550048
1463,g2,p71,z23,1.306389807
1442,g2,p71,z23,1.353719281
1445,g2,p71,z23,1.342911047
1436,g2,p2,z23,1.731997164
1462,g2,p2,z23,1.765374711
1453,g2,p2,z23,1.718290894
1458,g2,p2,z23,1.739695317
1439,g2,p2,z23,1.684708942
1465,g2,p2,z23,1.764197422
1440,g2,p2,z148,1.768575102
1426,g2,p2,z23,1.759783572
1451,g2,p2,z23,1.753255991
1434,g2,p2,z23,1.739065217
1460,g2,p2,z23,1.707991134
1395,g2,p2,z23,1.714412466
1441,g2,p2,z23,1.748619735
1446,g2,p2,z23,1.729352469
1456,g2,p2,z23,1.682896604
1425,g2,p2,z23,1.716198852
1390,g2,p2,z23,1.713255992
1428,g2,p2,z23,1.724417011
1432,g2,p2,z23,1.694265533
1445,g2,p2,z23,1.705211617
1382,g2,p2,z23,1.688237715
1424,g2,p2,z23,1.696458661
1445,g2,p51,z1,1.315141601
1447,g2,p51,z1,1.328979257
1446,g2,p51,z1,1.279037896
1449,g2,p51,z1,1.320007647
1450,g2,p51,z1,1.31762617
1459,g2,p2,z1,1.977520224
1461,g2,p2,z1,2.026530498
1464,g2,p2,z1,1.976217088
1452,g2,p2,z1,2.054863934
1453,g2,p2,z1,2.044752509
1455,g2,p2,z1,2.062725635
1458,g2,p2,z1,2.039756597
1443,g2,p2,z1,1.949525818
1462,g2,p51,z1,1.707912608
1453,g2,p51,z1,1.73460495
1454,g2,p51,z1,1.663926711
1455,g2,p51,z1,1.722994632
1387,g2,p20,z148,1.341083258
1394,g2,p20,z23,1.364250723
1394,g2,p20,z148,1.358853836
1393,g2,p20,z148,1.343019103
1463,g2,p20,z148,1.328572444
1462,g2,p20,z148,1.342802413
1458,g2,p20,z23,1.301381704
1455,g2,p20,z148,1.35463511
1456,g2,p20,z148,1.332536301
1411,g2,p20,z148,1.352836165
1416,g2,p20,z148,1.361934973
1433,g2,p20,z23,1.338005027
1431,g2,p20,z148,1.333111302
1434,g2,p20,z148,1.334660503
1450,g2,p20,z148,1.320369282
1429,g2,p20,z148,1.333050921
1430,g2,p20,z23,1.365009611
1438,g2,p20,z148,1.331388524
1442,g2,p20,z148,1.308359174
1444,g2,p20,z148,1.341277774
1465,g2,p85,z148,0.904055431
1459,g2,p85,z148,0.923223531
1456,g2,p85,z148,0.901378126
1458,g2,p85,z148,0.900048241
1457,g2,p85,z148,0.929850002
1388,g2,p21,z23,0.904710489
1386,g2,p21,z23,0.91664682
1384,g2,p21,z23,0.927432986
1395,g2,p21,z23,0.89717163
1394,g2,p21,z23,0.901396827
1389,g2,p21,z23,0.899831513
1460,g2,p21,z23,0.936307453
1462,g2,p21,z23,0.919176007
1459,g2,p21,z23,0.895417912
1457,g2,p21,z23,0.916364322
1422,g2,p21,z23,0.917368942
1433,g2,p21,z23,0.926685742
1437,g2,p21,z23,0.924298322
1435,g2,p21,z23,0.908674299
1446,g2,p21,z23,0.890168249
1425,g2,p21,z23,0.937288098
1427,g2,p21,z23,0.904235151
1424,g2,p21,z23,0.911233481
